source,target,source_spotify_id,target_spotify_id,source_genres,target_genres,shared_genres,shared_genres_count,jaccard_similarity,pair_key,collaboration,collaboration_weight,evidence_tracks
ear,Lucy Bedroque,3bABCGLkFvjnNIKHvPVHDG,2I8H267eH5va9da4vGt38O,electroclash,cloud rap; hyperpop; rage rap,,0,0.0,Lucy Bedroque|||ear,0,0,
ear,Horse Vision,3bABCGLkFvjnNIKHvPVHDG,28gAkTGnjn8QZllb4EU4OM,electroclash,,,0,0.0,Horse Vision|||ear,0,0,
ear,Mother Soki,3bABCGLkFvjnNIKHvPVHDG,08W3G3y83p0TLqqjiyKXBk,electroclash,,,0,0.0,Mother Soki|||ear,0,0,
ear,bar italia,3bABCGLkFvjnNIKHvPVHDG,6tYmTHApvspl6KAgTfHjAY,electroclash,lo-fi indie,,0,0.0,bar italia|||ear,0,0,
ear,daine,3bABCGLkFvjnNIKHvPVHDG,4lyCoxLN0aW7nJy5rec0tG,electroclash,hyperpop,,0,0.0,daine|||ear,0,0,
ear,james K,3bABCGLkFvjnNIKHvPVHDG,25BObiRSDCMwVrBGIVaLIf,electroclash,,,0,0.0,ear|||james K,0,0,
ear,underscores,3bABCGLkFvjnNIKHvPVHDG,7HfUJxeVTgrvhk0eWHFzV7,electroclash,hyperpop,,0,0.0,ear|||underscores,0,0,
ear,Elias Rønnenfelt,3bABCGLkFvjnNIKHvPVHDG,1sMYEFib6APIW3JjkY8pYS,electroclash,,,0,0.0,Elias Rønnenfelt|||ear,0,0,
ear,Bladee,3bABCGLkFvjnNIKHvPVHDG,2xvtxDNInKDV4AvGmjw6d1,electroclash,cloud rap; hyperpop,,0,0.0,Bladee|||ear,0,0,
ear,mark william lewis,3bABCGLkFvjnNIKHvPVHDG,2r5elgyPQ19vDG3xSQn39k,electroclash,,,0,0.0,ear|||mark william lewis,0,0,
ear,Nourished by Time,3bABCGLkFvjnNIKHvPVHDG,7zNkqI6qRr0OJ4XO1Pw29g,electroclash,indie electronic,,0,0.0,Nourished by Time|||ear,0,0,
ear,Alex G,3bABCGLkFvjnNIKHvPVHDG,6lcwlkAjBPSKnFBZjjZFJs,electroclash,,,0,0.0,Alex G|||ear,0,0,
ear,Oklou,3bABCGLkFvjnNIKHvPVHDG,6fFcUOFcbjeIuEomuUthkw,electroclash,art pop; hyperpop,,0,0.0,Oklou|||ear,0,0,
ear,Dean Blunt,3bABCGLkFvjnNIKHvPVHDG,5CFSYjc0PAiQvndFjafabk,electroclash,,,0,0.0,Dean Blunt|||ear,0,0,
ear,King Krule,3bABCGLkFvjnNIKHvPVHDG,4wyNyxs74Ux8UIDopNjIai,electroclash,,,0,0.0,King Krule|||ear,0,0,
ear,A. G. Cook,3bABCGLkFvjnNIKHvPVHDG,335TWGWGFan4vaacJzSiU8,electroclash,hyperpop,,0,0.0,A. G. Cook|||ear,0,0,
ear,Nation,3bABCGLkFvjnNIKHvPVHDG,03D2b6ATNCne8B3D251ncQ,electroclash,electroclash; witch house,electroclash,1,0.5,Nation|||ear,0,0,
ear,The Dare,3bABCGLkFvjnNIKHvPVHDG,2mqiqsaX4LzFnUP7PmHGAb,electroclash,electroclash,electroclash,1,1.0,The Dare|||ear,0,0,
ear,Ecco2k,3bABCGLkFvjnNIKHvPVHDG,6hG0VsXXlD10l60TqiIHIX,electroclash,cloud rap; hyperpop,,0,0.0,Ecco2k|||ear,0,0,
ear,BABii,3bABCGLkFvjnNIKHvPVHDG,30qGwXnygZNCzxjN7QsIR0,electroclash,hyperpop,,0,0.0,BABii|||ear,0,0,
ear,2hollis,3bABCGLkFvjnNIKHvPVHDG,72NhFAGG5Pt91VbheJeEPG,electroclash,electroclash; hyperpop,electroclash,1,0.5,2hollis|||ear,0,0,
Mk.gee,ML Buch,7tr9pbgNEKtG0GQTKe08Tz,3NsSv8HchEwfa7bGkjb4ZC,,,,0,0.0,ML Buch|||Mk.gee,0,0,
Mk.gee,Chanel Beads,7tr9pbgNEKtG0GQTKe08Tz,3x11XrMEnyP18hv73pmKRL,,lo-fi indie,,0,0.0,Chanel Beads|||Mk.gee,0,0,
Mk.gee,Sophia Stel,7tr9pbgNEKtG0GQTKe08Tz,18w9tq3c2x11niEFNYqeex,,,,0,0.0,Mk.gee|||Sophia Stel,0,0,
Mk.gee,Bassvictim,7tr9pbgNEKtG0GQTKe08Tz,7f8ydynRRnrJBqWxevKLcM,,electroclash; hyperpop; witch house,,0,0.0,Bassvictim|||Mk.gee,0,0,
Mk.gee,The Hellp,7tr9pbgNEKtG0GQTKe08Tz,5DslL3PUa3BcRlCCEP64A4,,electroclash; hyperpop; new rave,,0,0.0,Mk.gee|||The Hellp,0,0,
Mk.gee,the sound chalk makes,7tr9pbgNEKtG0GQTKe08Tz,4uiFRdH1ESOicHwBuTbsY5,,electroclash; hyperpop,,0,0.0,Mk.gee|||the sound chalk makes,0,0,
Mk.gee,Lucy Bedroque,7tr9pbgNEKtG0GQTKe08Tz,2I8H267eH5va9da4vGt38O,,cloud rap; hyperpop; rage rap,,0,0.0,Lucy Bedroque|||Mk.gee,0,0,
Mk.gee,Horse Vision,7tr9pbgNEKtG0GQTKe08Tz,28gAkTGnjn8QZllb4EU4OM,,,,0,0.0,Horse Vision|||Mk.gee,0,0,
Mk.gee,Mother Soki,7tr9pbgNEKtG0GQTKe08Tz,08W3G3y83p0TLqqjiyKXBk,,,,0,0.0,Mk.gee|||Mother Soki,0,0,
Mk.gee,bar italia,7tr9pbgNEKtG0GQTKe08Tz,6tYmTHApvspl6KAgTfHjAY,,lo-fi indie,,0,0.0,Mk.gee|||bar italia,0,0,
Mk.gee,daine,7tr9pbgNEKtG0GQTKe08Tz,4lyCoxLN0aW7nJy5rec0tG,,hyperpop,,0,0.0,Mk.gee|||daine,0,0,
Mk.gee,james K,7tr9pbgNEKtG0GQTKe08Tz,25BObiRSDCMwVrBGIVaLIf,,,,0,0.0,Mk.gee|||james K,0,0,
Mk.gee,underscores,7tr9pbgNEKtG0GQTKe08Tz,7HfUJxeVTgrvhk0eWHFzV7,,hyperpop,,0,0.0,Mk.gee|||underscores,0,0,
Mk.gee,Elias Rønnenfelt,7tr9pbgNEKtG0GQTKe08Tz,1sMYEFib6APIW3JjkY8pYS,,,,0,0.0,Elias Rønnenfelt|||Mk.gee,0,0,
Mk.gee,Bladee,7tr9pbgNEKtG0GQTKe08Tz,2xvtxDNInKDV4AvGmjw6d1,,cloud rap; hyperpop,,0,0.0,Bladee|||Mk.gee,0,0,
Mk.gee,mark william lewis,7tr9pbgNEKtG0GQTKe08Tz,2r5elgyPQ19vDG3xSQn39k,,,,0,0.0,Mk.gee|||mark william lewis,0,0,
Mk.gee,Nourished by Time,7tr9pbgNEKtG0GQTKe08Tz,7zNkqI6qRr0OJ4XO1Pw29g,,indie electronic,,0,0.0,Mk.gee|||Nourished by Time,0,0,
Mk.gee,Alex G,7tr9pbgNEKtG0GQTKe08Tz,6lcwlkAjBPSKnFBZjjZFJs,,,,0,0.0,Alex G|||Mk.gee,0,0,
Mk.gee,Oklou,7tr9pbgNEKtG0GQTKe08Tz,6fFcUOFcbjeIuEomuUthkw,,art pop; hyperpop,,0,0.0,Mk.gee|||Oklou,0,0,
Mk.gee,Dean Blunt,7tr9pbgNEKtG0GQTKe08Tz,5CFSYjc0PAiQvndFjafabk,,,,0,0.0,Dean Blunt|||Mk.gee,0,0,
Mk.gee,King Krule,7tr9pbgNEKtG0GQTKe08Tz,4wyNyxs74Ux8UIDopNjIai,,,,0,0.0,King Krule|||Mk.gee,0,0,
Mk.gee,A. G. Cook,7tr9pbgNEKtG0GQTKe08Tz,335TWGWGFan4vaacJzSiU8,,hyperpop,,0,0.0,A. G. Cook|||Mk.gee,0,0,
Mk.gee,Nation,7tr9pbgNEKtG0GQTKe08Tz,03D2b6ATNCne8B3D251ncQ,,electroclash; witch house,,0,0.0,Mk.gee|||Nation,0,0,
Mk.gee,The Dare,7tr9pbgNEKtG0GQTKe08Tz,2mqiqsaX4LzFnUP7PmHGAb,,electroclash,,0,0.0,Mk.gee|||The Dare,0,0,
Mk.gee,Ecco2k,7tr9pbgNEKtG0GQTKe08Tz,6hG0VsXXlD10l60TqiIHIX,,cloud rap; hyperpop,,0,0.0,Ecco2k|||Mk.gee,0,0,
Mk.gee,BABii,7tr9pbgNEKtG0GQTKe08Tz,30qGwXnygZNCzxjN7QsIR0,,hyperpop,,0,0.0,BABii|||Mk.gee,0,0,
Mk.gee,2hollis,7tr9pbgNEKtG0GQTKe08Tz,72NhFAGG5Pt91VbheJeEPG,,electroclash; hyperpop,,0,0.0,2hollis|||Mk.gee,0,0,
ML Buch,Chanel Beads,3NsSv8HchEwfa7bGkjb4ZC,3x11XrMEnyP18hv73pmKRL,,lo-fi indie,,0,0.0,Chanel Beads|||ML Buch,0,0,
ML Buch,Sophia Stel,3NsSv8HchEwfa7bGkjb4ZC,18w9tq3c2x11niEFNYqeex,,,,0,0.0,ML Buch|||Sophia Stel,0,0,
ML Buch,Bassvictim,3NsSv8HchEwfa7bGkjb4ZC,7f8ydynRRnrJBqWxevKLcM,,electroclash; hyperpop; witch house,,0,0.0,Bassvictim|||ML Buch,0,0,
ML Buch,The Hellp,3NsSv8HchEwfa7bGkjb4ZC,5DslL3PUa3BcRlCCEP64A4,,electroclash; hyperpop; new rave,,0,0.0,ML Buch|||The Hellp,0,0,
ML Buch,the sound chalk makes,3NsSv8HchEwfa7bGkjb4ZC,4uiFRdH1ESOicHwBuTbsY5,,electroclash; hyperpop,,0,0.0,ML Buch|||the sound chalk makes,0,0,
ML Buch,Lucy Bedroque,3NsSv8HchEwfa7bGkjb4ZC,2I8H267eH5va9da4vGt38O,,cloud rap; hyperpop; rage rap,,0,0.0,Lucy Bedroque|||ML Buch,0,0,
ML Buch,Horse Vision,3NsSv8HchEwfa7bGkjb4ZC,28gAkTGnjn8QZllb4EU4OM,,,,0,0.0,Horse Vision|||ML Buch,0,0,
ML Buch,Mother Soki,3NsSv8HchEwfa7bGkjb4ZC,08W3G3y83p0TLqqjiyKXBk,,,,0,0.0,ML Buch|||Mother Soki,0,0,
ML Buch,bar italia,3NsSv8HchEwfa7bGkjb4ZC,6tYmTHApvspl6KAgTfHjAY,,lo-fi indie,,0,0.0,ML Buch|||bar italia,0,0,
ML Buch,daine,3NsSv8HchEwfa7bGkjb4ZC,4lyCoxLN0aW7nJy5rec0tG,,hyperpop,,0,0.0,ML Buch|||daine,0,0,
ML Buch,james K,3NsSv8HchEwfa7bGkjb4ZC,25BObiRSDCMwVrBGIVaLIf,,,,0,0.0,ML Buch|||james K,0,0,
ML Buch,underscores,3NsSv8HchEwfa7bGkjb4ZC,7HfUJxeVTgrvhk0eWHFzV7,,hyperpop,,0,0.0,ML Buch|||underscores,0,0,
ML Buch,Elias Rønnenfelt,3NsSv8HchEwfa7bGkjb4ZC,1sMYEFib6APIW3JjkY8pYS,,,,0,0.0,Elias Rønnenfelt|||ML Buch,0,0,
ML Buch,Bladee,3NsSv8HchEwfa7bGkjb4ZC,2xvtxDNInKDV4AvGmjw6d1,,cloud rap; hyperpop,,0,0.0,Bladee|||ML Buch,0,0,
ML Buch,mark william lewis,3NsSv8HchEwfa7bGkjb4ZC,2r5elgyPQ19vDG3xSQn39k,,,,0,0.0,ML Buch|||mark william lewis,0,0,
ML Buch,Nourished by Time,3NsSv8HchEwfa7bGkjb4ZC,7zNkqI6qRr0OJ4XO1Pw29g,,indie electronic,,0,0.0,ML Buch|||Nourished by Time,0,0,
ML Buch,Alex G,3NsSv8HchEwfa7bGkjb4ZC,6lcwlkAjBPSKnFBZjjZFJs,,,,0,0.0,Alex G|||ML Buch,0,0,
ML Buch,Oklou,3NsSv8HchEwfa7bGkjb4ZC,6fFcUOFcbjeIuEomuUthkw,,art pop; hyperpop,,0,0.0,ML Buch|||Oklou,0,0,
ML Buch,Dean Blunt,3NsSv8HchEwfa7bGkjb4ZC,5CFSYjc0PAiQvndFjafabk,,,,0,0.0,Dean Blunt|||ML Buch,0,0,
ML Buch,King Krule,3NsSv8HchEwfa7bGkjb4ZC,4wyNyxs74Ux8UIDopNjIai,,,,0,0.0,King Krule|||ML Buch,0,0,
ML Buch,A. G. Cook,3NsSv8HchEwfa7bGkjb4ZC,335TWGWGFan4vaacJzSiU8,,hyperpop,,0,0.0,A. G. Cook|||ML Buch,0,0,
ML Buch,Nation,3NsSv8HchEwfa7bGkjb4ZC,03D2b6ATNCne8B3D251ncQ,,electroclash; witch house,,0,0.0,ML Buch|||Nation,0,0,
ML Buch,The Dare,3NsSv8HchEwfa7bGkjb4ZC,2mqiqsaX4LzFnUP7PmHGAb,,electroclash,,0,0.0,ML Buch|||The Dare,0,0,
ML Buch,Ecco2k,3NsSv8HchEwfa7bGkjb4ZC,6hG0VsXXlD10l60TqiIHIX,,cloud rap; hyperpop,,0,0.0,Ecco2k|||ML Buch,0,0,
ML Buch,BABii,3NsSv8HchEwfa7bGkjb4ZC,30qGwXnygZNCzxjN7QsIR0,,hyperpop,,0,0.0,BABii|||ML Buch,0,0,
ML Buch,2hollis,3NsSv8HchEwfa7bGkjb4ZC,72NhFAGG5Pt91VbheJeEPG,,electroclash; hyperpop,,0,0.0,2hollis|||ML Buch,0,0,
Chanel Beads,Sophia Stel,3x11XrMEnyP18hv73pmKRL,18w9tq3c2x11niEFNYqeex,lo-fi indie,,,0,0.0,Chanel Beads|||Sophia Stel,0,0,
Chanel Beads,Bassvictim,3x11XrMEnyP18hv73pmKRL,7f8ydynRRnrJBqWxevKLcM,lo-fi indie,electroclash; hyperpop; witch house,,0,0.0,Bassvictim|||Chanel Beads,0,0,
Chanel Beads,The Hellp,3x11XrMEnyP18hv73pmKRL,5DslL3PUa3BcRlCCEP64A4,lo-fi indie,electroclash; hyperpop; new rave,,0,0.0,Chanel Beads|||The Hellp,0,0,
Chanel Beads,the sound chalk makes,3x11XrMEnyP18hv73pmKRL,4uiFRdH1ESOicHwBuTbsY5,lo-fi indie,electroclash; hyperpop,,0,0.0,Chanel Beads|||the sound chalk makes,0,0,
Chanel Beads,Lucy Bedroque,3x11XrMEnyP18hv73pmKRL,2I8H267eH5va9da4vGt38O,lo-fi indie,cloud rap; hyperpop; rage rap,,0,0.0,Chanel Beads|||Lucy Bedroque,0,0,
Chanel Beads,Horse Vision,3x11XrMEnyP18hv73pmKRL,28gAkTGnjn8QZllb4EU4OM,lo-fi indie,,,0,0.0,Chanel Beads|||Horse Vision,0,0,
Chanel Beads,Mother Soki,3x11XrMEnyP18hv73pmKRL,08W3G3y83p0TLqqjiyKXBk,lo-fi indie,,,0,0.0,Chanel Beads|||Mother Soki,0,0,
Chanel Beads,bar italia,3x11XrMEnyP18hv73pmKRL,6tYmTHApvspl6KAgTfHjAY,lo-fi indie,lo-fi indie,lo-fi indie,1,1.0,Chanel Beads|||bar italia,0,0,
Chanel Beads,daine,3x11XrMEnyP18hv73pmKRL,4lyCoxLN0aW7nJy5rec0tG,lo-fi indie,hyperpop,,0,0.0,Chanel Beads|||daine,0,0,
Chanel Beads,james K,3x11XrMEnyP18hv73pmKRL,25BObiRSDCMwVrBGIVaLIf,lo-fi indie,,,0,0.0,Chanel Beads|||james K,0,0,
Chanel Beads,underscores,3x11XrMEnyP18hv73pmKRL,7HfUJxeVTgrvhk0eWHFzV7,lo-fi indie,hyperpop,,0,0.0,Chanel Beads|||underscores,0,0,
Chanel Beads,Elias Rønnenfelt,3x11XrMEnyP18hv73pmKRL,1sMYEFib6APIW3JjkY8pYS,lo-fi indie,,,0,0.0,Chanel Beads|||Elias Rønnenfelt,0,0,
Chanel Beads,Bladee,3x11XrMEnyP18hv73pmKRL,2xvtxDNInKDV4AvGmjw6d1,lo-fi indie,cloud rap; hyperpop,,0,0.0,Bladee|||Chanel Beads,0,0,
Chanel Beads,mark william lewis,3x11XrMEnyP18hv73pmKRL,2r5elgyPQ19vDG3xSQn39k,lo-fi indie,,,0,0.0,Chanel Beads|||mark william lewis,0,0,
Chanel Beads,Nourished by Time,3x11XrMEnyP18hv73pmKRL,7zNkqI6qRr0OJ4XO1Pw29g,lo-fi indie,indie electronic,,0,0.0,Chanel Beads|||Nourished by Time,0,0,
Chanel Beads,Alex G,3x11XrMEnyP18hv73pmKRL,6lcwlkAjBPSKnFBZjjZFJs,lo-fi indie,,,0,0.0,Alex G|||Chanel Beads,0,0,
Chanel Beads,Oklou,3x11XrMEnyP18hv73pmKRL,6fFcUOFcbjeIuEomuUthkw,lo-fi indie,art pop; hyperpop,,0,0.0,Chanel Beads|||Oklou,0,0,
Chanel Beads,Dean Blunt,3x11XrMEnyP18hv73pmKRL,5CFSYjc0PAiQvndFjafabk,lo-fi indie,,,0,0.0,Chanel Beads|||Dean Blunt,0,0,
Chanel Beads,King Krule,3x11XrMEnyP18hv73pmKRL,4wyNyxs74Ux8UIDopNjIai,lo-fi indie,,,0,0.0,Chanel Beads|||King Krule,0,0,
Chanel Beads,A. G. Cook,3x11XrMEnyP18hv73pmKRL,335TWGWGFan4vaacJzSiU8,lo-fi indie,hyperpop,,0,0.0,A. G. Cook|||Chanel Beads,0,0,
Chanel Beads,Nation,3x11XrMEnyP18hv73pmKRL,03D2b6ATNCne8B3D251ncQ,lo-fi indie,electroclash; witch house,,0,0.0,Chanel Beads|||Nation,0,0,
Chanel Beads,The Dare,3x11XrMEnyP18hv73pmKRL,2mqiqsaX4LzFnUP7PmHGAb,lo-fi indie,electroclash,,0,0.0,Chanel Beads|||The Dare,0,0,
Chanel Beads,Ecco2k,3x11XrMEnyP18hv73pmKRL,6hG0VsXXlD10l60TqiIHIX,lo-fi indie,cloud rap; hyperpop,,0,0.0,Chanel Beads|||Ecco2k,0,0,
Chanel Beads,BABii,3x11XrMEnyP18hv73pmKRL,30qGwXnygZNCzxjN7QsIR0,lo-fi indie,hyperpop,,0,0.0,BABii|||Chanel Beads,0,0,
Chanel Beads,2hollis,3x11XrMEnyP18hv73pmKRL,72NhFAGG5Pt91VbheJeEPG,lo-fi indie,electroclash; hyperpop,,0,0.0,2hollis|||Chanel Beads,0,0,
Sophia Stel,Bassvictim,18w9tq3c2x11niEFNYqeex,7f8ydynRRnrJBqWxevKLcM,,electroclash; hyperpop; witch house,,0,0.0,Bassvictim|||Sophia Stel,0,0,
Sophia Stel,The Hellp,18w9tq3c2x11niEFNYqeex,5DslL3PUa3BcRlCCEP64A4,,electroclash; hyperpop; new rave,,0,0.0,Sophia Stel|||The Hellp,0,0,
Sophia Stel,the sound chalk makes,18w9tq3c2x11niEFNYqeex,4uiFRdH1ESOicHwBuTbsY5,,electroclash; hyperpop,,0,0.0,Sophia Stel|||the sound chalk makes,0,0,
Sophia Stel,Lucy Bedroque,18w9tq3c2x11niEFNYqeex,2I8H267eH5va9da4vGt38O,,cloud rap; hyperpop; rage rap,,0,0.0,Lucy Bedroque|||Sophia Stel,0,0,
Sophia Stel,Horse Vision,18w9tq3c2x11niEFNYqeex,28gAkTGnjn8QZllb4EU4OM,,,,0,0.0,Horse Vision|||Sophia Stel,0,0,
Sophia Stel,Mother Soki,18w9tq3c2x11niEFNYqeex,08W3G3y83p0TLqqjiyKXBk,,,,0,0.0,Mother Soki|||Sophia Stel,0,0,
Sophia Stel,bar italia,18w9tq3c2x11niEFNYqeex,6tYmTHApvspl6KAgTfHjAY,,lo-fi indie,,0,0.0,Sophia Stel|||bar italia,0,0,
Sophia Stel,daine,18w9tq3c2x11niEFNYqeex,4lyCoxLN0aW7nJy5rec0tG,,hyperpop,,0,0.0,Sophia Stel|||daine,0,0,
Sophia Stel,james K,18w9tq3c2x11niEFNYqeex,25BObiRSDCMwVrBGIVaLIf,,,,0,0.0,Sophia Stel|||james K,0,0,
Sophia Stel,underscores,18w9tq3c2x11niEFNYqeex,7HfUJxeVTgrvhk0eWHFzV7,,hyperpop,,0,0.0,Sophia Stel|||underscores,0,0,
Sophia Stel,Elias Rønnenfelt,18w9tq3c2x11niEFNYqeex,1sMYEFib6APIW3JjkY8pYS,,,,0,0.0,Elias Rønnenfelt|||Sophia Stel,0,0,
Sophia Stel,Bladee,18w9tq3c2x11niEFNYqeex,2xvtxDNInKDV4AvGmjw6d1,,cloud rap; hyperpop,,0,0.0,Bladee|||Sophia Stel,0,0,
Sophia Stel,mark william lewis,18w9tq3c2x11niEFNYqeex,2r5elgyPQ19vDG3xSQn39k,,,,0,0.0,Sophia Stel|||mark william lewis,0,0,
