track_id,track_name,album_id,album_name,album_type,release_date,all_track_artist_names,sample_artist_names,n_sample_artists_on_track,track_url
6rTgjvKEp1SABOBebNsLkm,take me by the hand,0ME2uR7jGL1WR914hPIpGr,take me by the hand (feat. Bladee),single,2025-01-16,Oklou; Bladee,Oklou; Bladee,2,https://open.spotify.com/track/6rTgjvKEp1SABOBebNsLkm
4TVJdCA52un1zbLXWWA1rH,harvest sky,0ME2uR7jGL1WR914hPIpGr,take me by the hand (feat. Bladee),single,2025-01-16,Oklou; underscores,Oklou; underscores,2,https://open.spotify.com/track/4TVJdCA52un1zbLXWWA1rH
6ChWVW8O0LAdzf6X1fKgSP,harvest sky,1sAbtQU4VkbjsM04CkfK8u,choke enough,single,2024-11-21,Oklou; underscores,Oklou; underscores,2,https://open.spotify.com/track/6ChWVW8O0LAdzf6X1fKgSP
0m3TeZU2R4bhp3iQcUVJ6F,take me by the hand,5NgtIXb94FK6LbtLPd00uR,blade bird,single,2025-02-05,Oklou; Bladee,Oklou; Bladee,2,https://open.spotify.com/track/0m3TeZU2R4bhp3iQcUVJ6F
5dx1g6dKgxMWfuGFHJk7C0,harvest sky,5NgtIXb94FK6LbtLPd00uR,blade bird,single,2025-02-05,Oklou; underscores,Oklou; underscores,2,https://open.spotify.com/track/5dx1g6dKgxMWfuGFHJk7C0
0enz80MqryEfAT33MIXtFU,harvest sky,4Nn9VukWdfqFAx61e8CPJ0,harvest sky / obvious,single,2024-10-16,Oklou; underscores,Oklou; underscores,2,https://open.spotify.com/track/0enz80MqryEfAT33MIXtFU
47J3UVkoAlEEcr4tguk4ph,1,76qQt7n5SKtIa38BmZxvl4,lucre,album,2025-02-07,Dean Blunt; Elias Rønnenfelt,Dean Blunt; Elias Rønnenfelt,2,https://open.spotify.com/track/47J3UVkoAlEEcr4tguk4ph
6eLfGGLdhv4x5IPl7N88AS,2,76qQt7n5SKtIa38BmZxvl4,lucre,album,2025-02-07,Dean Blunt; Elias Rønnenfelt,Dean Blunt; Elias Rønnenfelt,2,https://open.spotify.com/track/6eLfGGLdhv4x5IPl7N88AS
54CKM5iLlF81weoHcXx9Jm,3,76qQt7n5SKtIa38BmZxvl4,lucre,album,2025-02-07,Dean Blunt; Elias Rønnenfelt,Dean Blunt; Elias Rønnenfelt,2,https://open.spotify.com/track/54CKM5iLlF81weoHcXx9Jm
3W9INBEJLZwnBZlbGHz8P2,4,76qQt7n5SKtIa38BmZxvl4,lucre,album,2025-02-07,Dean Blunt; Elias Rønnenfelt,Dean Blunt; Elias Rønnenfelt,2,https://open.spotify.com/track/3W9INBEJLZwnBZlbGHz8P2
7CK4bpTIiYWYp478jgSlgp,5,76qQt7n5SKtIa38BmZxvl4,lucre,album,2025-02-07,Dean Blunt; Elias Rønnenfelt,Dean Blunt; Elias Rønnenfelt,2,https://open.spotify.com/track/7CK4bpTIiYWYp478jgSlgp
7IWpPYXDx7jKcPDr9Wphca,6,76qQt7n5SKtIa38BmZxvl4,lucre,album,2025-02-07,Dean Blunt; Elias Rønnenfelt,Dean Blunt; Elias Rønnenfelt,2,https://open.spotify.com/track/7IWpPYXDx7jKcPDr9Wphca
6f0QzlymhzFNEm14kw2TDa,7,76qQt7n5SKtIa38BmZxvl4,lucre,album,2025-02-07,Dean Blunt; Elias Rønnenfelt,Dean Blunt; Elias Rønnenfelt,2,https://open.spotify.com/track/6f0QzlymhzFNEm14kw2TDa
7DigNxE6prVBzj4sPJopkT,tears on his rings and chains,5DXpvfvNrOTSM2nYL5YlyR,tears on his rings and chains,single,2025-08-15,Dean Blunt; Elias Rønnenfelt,Dean Blunt; Elias Rønnenfelt,2,https://open.spotify.com/track/7DigNxE6prVBzj4sPJopkT
0DDd0hDnpVNO94wWoyYZ4M,Close - The Dare Remix,0LweQTYQWh0t9ZNGlb3ANI,Close,single,2025-02-28,Elias Rønnenfelt; FAUZIA; The Dare,Elias Rønnenfelt; The Dare,2,https://open.spotify.com/track/0DDd0hDnpVNO94wWoyYZ4M
3shd5Gvr4TuotVS2Q8l0GO,repeat offenders,4ij6JFRdgUTzvsu3UFw5BS,Backstage Raver,album,2024-05-27,Joanne Robertson; Dean Blunt; Elias Rønnenfelt,Dean Blunt; Elias Rønnenfelt,2,https://open.spotify.com/track/3shd5Gvr4TuotVS2Q8l0GO
0WbuDhRzi9VQdz1qmUY47l,Smile Please,7ICcPNtiYMD2teS4rFClhS,Smile Please,single,2023-04-20,Dean Blunt; Elias Rønnenfelt,Dean Blunt; Elias Rønnenfelt,2,https://open.spotify.com/track/0WbuDhRzi9VQdz1qmUY47l
7jCBIr3olej8VJayKPg30c,COLD VISIONS (OUTRO 2),2cEL04tddUszYFy6tEM1rI,Cold Visions,album,2024-04-24,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/7jCBIr3olej8VJayKPg30c
1yA52ETTFmGPb0uJYShoAu,DiSASTER PRELUDE,59VjMEiXIOpzLAMAHrLlfj,Spiderr,album,2022-09-30,Bladee; Ecco2k,Bladee; Ecco2k,2,https://open.spotify.com/track/1yA52ETTFmGPb0uJYShoAu
